,Years,Months,Districts,Amounts_(m3)
148,2019,1,Arnavutkoy,24410477.667
149,2019,2,Arnavutkoy,21240221.42
150,2019,3,Arnavutkoy,19631818.021
151,2019,4,Arnavutkoy,15760580.195
152,2019,5,Arnavutkoy,9151096.714
153,2019,6,Arnavutkoy,6245223.884
154,2019,7,Arnavutkoy,7820239.119
155,2019,8,Arnavutkoy,6250101.3
156,2019,9,Arnavutkoy,7643481.917
157,2019,10,Arnavutkoy,9230885.805
158,2019,11,Arnavutkoy,11465771.266
159,2019,12,Arnavutkoy,20496594.036
160,2020,1,Arnavutkoy,26245992.511
161,2020,2,Arnavutkoy,22412521.068
162,2020,3,Arnavutkoy,19875847.917
163,2020,4,Arnavutkoy,11883806.301
164,2020,5,Arnavutkoy,6797132.712
165,2020,6,Arnavutkoy,7474086.773
166,2020,7,Arnavutkoy,7211577.88
167,2020,8,Arnavutkoy,6965803.746
168,2020,9,Arnavutkoy,7880325.709
169,2020,10,Arnavutkoy,8851099.939
170,2020,11,Arnavutkoy,17997324.48
171,2020,12,Arnavutkoy,22373209.877
172,2021,1,Arnavutkoy,25666677.866
173,2021,2,Arnavutkoy,24343706.749
174,2021,3,Arnavutkoy,27803115.734
175,2021,4,Arnavutkoy,19715293.277
176,2021,5,Arnavutkoy,9571574.09
177,2021,6,Arnavutkoy,9219296.167
178,2021,7,Arnavutkoy,7303183.955
179,2021,8,Arnavutkoy,8693148.926
180,2021,9,Arnavutkoy,9417719.095
181,2021,10,Arnavutkoy,13263522.314
182,2021,11,Arnavutkoy,18693203.08
183,2021,12,Arnavutkoy,26539274.299
184,2022,1,Arnavutkoy,31464851.052
185,2022,2,Arnavutkoy,27153324.988
186,2022,3,Arnavutkoy,32833522.991
187,2022,4,Arnavutkoy,17053012.049
188,2022,5,Arnavutkoy,11594811.03
189,2022,6,Arnavutkoy,9849344.575
190,2022,7,Arnavutkoy,7376458.672
191,2022,8,Arnavutkoy,9022383.852
192,2022,9,Arnavutkoy,9179547.108
193,2022,10,Arnavutkoy,11448119.719
194,2022,11,Arnavutkoy,15372003.448
195,2022,12,Arnavutkoy,22992984.145
196,2023,1,Arnavutkoy,25378952.296
197,2023,2,Arnavutkoy,27959643.872
198,2023,3,Arnavutkoy,24048455.746
199,2023,4,Arnavutkoy,16792197.888
200,2015,1,Atasehir,30998996.034
201,2015,2,Atasehir,26967133.33
202,2015,3,Atasehir,25548704.011
203,2015,4,Atasehir,16682891.713
204,2015,5,Atasehir,5416282.713
205,2015,6,Atasehir,4103143.453
206,2015,7,Atasehir,3462388.816
207,2015,8,Atasehir,3322695.925
208,2015,9,Atasehir,3642194.492
209,2015,10,Atasehir,7683070.427
210,2015,11,Atasehir,13616691.257
211,2015,12,Atasehir,27369814.041
212,2016,1,Atasehir,33107829.498
213,2016,2,Atasehir,22371970.036
214,2016,3,Atasehir,21270630.284
215,2016,4,Atasehir,8151172.699
216,2016,5,Atasehir,6190421.913
217,2016,6,Atasehir,4078322.843
218,2016,7,Atasehir,3256123.945
219,2016,8,Atasehir,3426477.632
220,2016,9,Atasehir,3737591.211
221,2016,10,Atasehir,8677954.23
222,2016,11,Atasehir,19052696.964
223,2016,12,Atasehir,36206305.677
224,2017,1,Atasehir,40876591.171
225,2017,2,Atasehir,30259036.315
226,2017,3,Atasehir,25206457.894
227,2017,4,Atasehir,16326721.63
228,2017,5,Atasehir,6916890.942
229,2017,6,Atasehir,4140975.418
230,2017,7,Atasehir,3681224.053
231,2017,8,Atasehir,3627628.051
232,2017,9,Atasehir,3814473.706
233,2017,10,Atasehir,8356681.332
234,2017,11,Atasehir,18423401.501
235,2017,12,Atasehir,25395281.013
236,2018,1,Atasehir,32342299.138
237,2018,2,Atasehir,28867683.964
238,2018,3,Atasehir,24734890.353
239,2018,4,Atasehir,11989085.164
240,2018,5,Atasehir,6650145.938
241,2018,6,Atasehir,4220794.825
242,2018,7,Atasehir,4016416.469
243,2018,8,Atasehir,3547188.658
244,2018,9,Atasehir,4291057.068
245,2018,10,Atasehir,7360086.913
246,2018,11,Atasehir,18137606.979
247,2018,12,Atasehir,33200161.286
248,2019,1,Atasehir,35539573.968
249,2019,2,Atasehir,30333535.433
250,2019,3,Atasehir,25596476.596
251,2019,4,Atasehir,18336476.849
252,2019,5,Atasehir,6712880.685
253,2019,6,Atasehir,4031736.328
254,2019,7,Atasehir,4017133.163
255,2019,8,Atasehir,3698207.677
256,2019,9,Atasehir,4269511.351
257,2019,10,Atasehir,5955282.922
258,2019,11,Atasehir,10060071.297
259,2019,12,Atasehir,26164798.884
260,2020,1,Atasehir,35822868.631
261,2020,2,Atasehir,29330217.607
262,2020,3,Atasehir,24706936.936
263,2020,4,Atasehir,17459451.999
264,2020,5,Atasehir,6619039.8
265,2020,6,Atasehir,4578051.707
266,2020,7,Atasehir,3800664.671
267,2020,8,Atasehir,3624324.605
268,2020,9,Atasehir,3948471.795
269,2020,10,Atasehir,5395517.997
270,2020,11,Atasehir,18331318.229
271,2020,12,Atasehir,24878773.611
272,2021,1,Atasehir,28662608.414
273,2021,2,Atasehir,27672670.965
274,2021,3,Atasehir,32004060.578
275,2021,4,Atasehir,20423925.701
276,2021,5,Atasehir,6092543.133
277,2021,6,Atasehir,5058755.491
278,2021,7,Atasehir,3834530.582
279,2021,8,Atasehir,3946643.377
280,2021,9,Atasehir,4657909.338
281,2021,10,Atasehir,10663439.48
282,2021,11,Atasehir,18669506.403
283,2021,12,Atasehir,29204844.48
284,2022,1,Atasehir,37027680.999
285,2022,2,Atasehir,30591989.429
286,2022,3,Atasehir,37876066.081
287,2022,4,Atasehir,15059571.316
288,2022,5,Atasehir,8397531.024
289,2022,6,Atasehir,4832519.066
290,2022,7,Atasehir,3931567.29
291,2022,8,Atasehir,4041572.136
292,2022,9,Atasehir,4536575.66
293,2022,10,Atasehir,7767574.884
294,2022,11,Atasehir,14140358.377
295,2022,12,Atasehir,24137414.646
296,2023,1,Atasehir,27501107.81
297,2023,2,Atasehir,31569274.777
298,2023,3,Atasehir,27439170.466
299,2023,4,Atasehir,16350797.685
300,2015,1,Avcilar,25341204.628
301,2015,2,Avcilar,22297471.168
302,2015,3,Avcilar,21305678.957
303,2015,4,Avcilar,13868978.793
304,2015,5,Avcilar,6200565.585
305,2015,6,Avcilar,5328233.965
306,2015,7,Avcilar,4396140.045
307,2015,8,Avcilar,4491861.042
308,2015,9,Avcilar,4722781.346
309,2015,10,Avcilar,7421491.952
310,2015,11,Avcilar,11631586.236
311,2015,12,Avcilar,22599899.805
312,2016,1,Avcilar,26724921.867
313,2016,2,Avcilar,18922793.021
314,2016,3,Avcilar,17692229.524
315,2016,4,Avcilar,7932809.75
316,2016,5,Avcilar,6515442.587
317,2016,6,Avcilar,5137047.386
318,2016,7,Avcilar,3967524.237
319,2016,8,Avcilar,4643342.606
320,2016,9,Avcilar,4517061.399
321,2016,10,Avcilar,8110858.812
322,2016,11,Avcilar,16340031.189
323,2016,12,Avcilar,28502776.93
324,2017,1,Avcilar,33424996.869
325,2017,2,Avcilar,25685798.307
326,2017,3,Avcilar,21260257.912
327,2017,4,Avcilar,13825960.951
328,2017,5,Avcilar,7053166.714
329,2017,6,Avcilar,4822787.264
330,2017,7,Avcilar,4715803.194
331,2017,8,Avcilar,4611009.788
332,2017,9,Avcilar,4709371.776
333,2017,10,Avcilar,8111013.934
334,2017,11,Avcilar,15981371.09
335,2017,12,Avcilar,19801604.581
336,2018,1,Avcilar,29175067.216
