,Years,Months,Districts,Amounts_(m3)
699,2023,4,Bakirkoy,14187191.897
700,2015,1,Basaksehir,20179928.905
701,2015,2,Basaksehir,17538593.225
702,2015,3,Basaksehir,17262955.152
703,2015,4,Basaksehir,12080521.741
704,2015,5,Basaksehir,6777120.174
705,2015,6,Basaksehir,5893349.846
706,2015,7,Basaksehir,5197017.357
707,2015,8,Basaksehir,5310083.153
708,2015,9,Basaksehir,5177247.462
709,2015,10,Basaksehir,8320098.119
710,2015,11,Basaksehir,11360223.354
711,2015,12,Basaksehir,18365787.068
712,2016,1,Basaksehir,21663955.266
713,2016,2,Basaksehir,16289819.903
714,2016,3,Basaksehir,15472652.994
715,2016,4,Basaksehir,7632520.464
716,2016,5,Basaksehir,6923710.028
717,2016,6,Basaksehir,5493240.904
718,2016,7,Basaksehir,4727092.229
719,2016,8,Basaksehir,5496187.618
720,2016,9,Basaksehir,5090544.658
721,2016,10,Basaksehir,9122173.45800001
722,2016,11,Basaksehir,15747987.819
723,2016,12,Basaksehir,24504206.605
724,2017,1,Basaksehir,27614979.714
725,2017,2,Basaksehir,21914549.699
726,2017,3,Basaksehir,19366040.734
727,2017,4,Basaksehir,14272592.982
728,2017,5,Basaksehir,8266485.699
729,2017,6,Basaksehir,6146827.062
730,2017,7,Basaksehir,6138862.157
731,2017,8,Basaksehir,6134961.508
732,2017,9,Basaksehir,6033924.5
733,2017,10,Basaksehir,9727594.844
734,2017,11,Basaksehir,16924496.525
735,2017,12,Basaksehir,18831052.472
736,2018,1,Basaksehir,26481077.441
737,2018,2,Basaksehir,22237915.868
738,2018,3,Basaksehir,21612703.382
739,2018,4,Basaksehir,12421361.472
740,2018,5,Basaksehir,8351070.00800001
741,2018,6,Basaksehir,6174428.05
742,2018,7,Basaksehir,6333802.015
743,2018,8,Basaksehir,5114257.045
744,2018,9,Basaksehir,6475127.497
745,2018,10,Basaksehir,9161492.90000001
746,2018,11,Basaksehir,16731348.842
747,2018,12,Basaksehir,28052087.214
748,2019,1,Basaksehir,30259490.681
749,2019,2,Basaksehir,24791960.436
750,2019,3,Basaksehir,22283168.193
751,2019,4,Basaksehir,17174042.202
752,2019,5,Basaksehir,8768446.943
753,2019,6,Basaksehir,5724056.616
754,2019,7,Basaksehir,6698180.795
755,2019,8,Basaksehir,5759191.958
756,2019,9,Basaksehir,6892591.038
757,2019,10,Basaksehir,8663109.398
758,2019,11,Basaksehir,11939094.593
759,2019,12,Basaksehir,24058114.94
760,2020,1,Basaksehir,31260279.156
761,2020,2,Basaksehir,26275430.588
762,2020,3,Basaksehir,22812992.258
763,2020,4,Basaksehir,16402029.219
764,2020,5,Basaksehir,8492844.667
765,2020,6,Basaksehir,7433714.659
766,2020,7,Basaksehir,7102942.99
767,2020,8,Basaksehir,6787858.329
768,2020,9,Basaksehir,7700118.472
769,2020,10,Basaksehir,8846542.672
770,2020,11,Basaksehir,20793917.818
771,2020,12,Basaksehir,27264721.871
772,2021,1,Basaksehir,30159607.922
773,2021,2,Basaksehir,28968662.219
774,2021,3,Basaksehir,33497858.981
775,2021,4,Basaksehir,24269901.557
776,2021,5,Basaksehir,10900254.411
777,2021,6,Basaksehir,10740105.877
778,2021,7,Basaksehir,8740903.986
779,2021,8,Basaksehir,9243957.21
780,2021,9,Basaksehir,10313845.66
781,2021,10,Basaksehir,16073080.146
782,2021,11,Basaksehir,22393812.937
783,2021,12,Basaksehir,32283006.296
784,2022,1,Basaksehir,38386073.016
785,2022,2,Basaksehir,32790744.529
786,2022,3,Basaksehir,39242412.543
787,2022,4,Basaksehir,19206680.58
788,2022,5,Basaksehir,13124679.886
789,2022,6,Basaksehir,10018146.281
790,2022,7,Basaksehir,8620229.45
791,2022,8,Basaksehir,9325816.217
792,2022,9,Basaksehir,9474374.684
793,2022,10,Basaksehir,12569372.014
794,2022,11,Basaksehir,18115724.686
795,2022,12,Basaksehir,27670320.673
796,2023,1,Basaksehir,29993621.665
797,2023,2,Basaksehir,33523744.84
798,2023,3,Basaksehir,29509961.818
799,2023,4,Basaksehir,19349593.898
800,2015,1,Bayrampasa,16097692.924
801,2015,2,Bayrampasa,14040701.135
802,2015,3,Bayrampasa,13177417.187
803,2015,4,Bayrampasa,8027212.782
804,2015,5,Bayrampasa,3015800.743
805,2015,6,Bayrampasa,2363207.23
806,2015,7,Bayrampasa,1990788.508
807,2015,8,Bayrampasa,1963726.906
808,2015,9,Bayrampasa,2115625.486
809,2015,10,Bayrampasa,3977442.517
810,2015,11,Bayrampasa,6610306.193
811,2015,12,Bayrampasa,13414719.035
812,2016,1,Bayrampasa,16958363.964
813,2016,2,Bayrampasa,11627727.096
814,2016,3,Bayrampasa,10634259.538
815,2016,4,Bayrampasa,4156399.248
816,2016,5,Bayrampasa,3218955.807
817,2016,6,Bayrampasa,2345069.027
818,2016,7,Bayrampasa,1867037.008
819,2016,8,Bayrampasa,2081924.776
820,2016,9,Bayrampasa,2187985.829
821,2016,10,Bayrampasa,4359867.665
822,2016,11,Bayrampasa,9842845.331
823,2016,12,Bayrampasa,17883027.052
824,2017,1,Bayrampasa,21080234.737
825,2017,2,Bayrampasa,15743421.444
826,2017,3,Bayrampasa,12980833.687
827,2017,4,Bayrampasa,8337878.441
828,2017,5,Bayrampasa,3700853.031
829,2017,6,Bayrampasa,2333398.265
830,2017,7,Bayrampasa,2199075.439
831,2017,8,Bayrampasa,2220873.726
832,2017,9,Bayrampasa,2303533.151
833,2017,10,Bayrampasa,4411833.495
834,2017,11,Bayrampasa,9597598.164
835,2017,12,Bayrampasa,11445485.866
836,2018,1,Bayrampasa,17543762.563
837,2018,2,Bayrampasa,14142975.392
838,2018,3,Bayrampasa,13351288.577
839,2018,4,Bayrampasa,6307286.401
840,2018,5,Bayrampasa,3596719.221
841,2018,6,Bayrampasa,2401965.299
842,2018,7,Bayrampasa,2400379.162
843,2018,8,Bayrampasa,2052870.412
844,2018,9,Bayrampasa,2585364.676
845,2018,10,Bayrampasa,3890210.649
846,2018,11,Bayrampasa,9139702.821
847,2018,12,Bayrampasa,17298724.784
848,2019,1,Bayrampasa,18711611.894
849,2019,2,Bayrampasa,15296399.184
850,2019,3,Bayrampasa,13111239.964
851,2019,4,Bayrampasa,9198095.895
852,2019,5,Bayrampasa,3822124.83
853,2019,6,Bayrampasa,2302026.362
854,2019,7,Bayrampasa,2512269.785
855,2019,8,Bayrampasa,2219205.162
856,2019,9,Bayrampasa,2667536.918
857,2019,10,Bayrampasa,3451422.845
858,2019,11,Bayrampasa,5234412.324
859,2019,12,Bayrampasa,13187510.783
860,2020,1,Bayrampasa,18227693.724
861,2020,2,Bayrampasa,15029002.803
862,2020,3,Bayrampasa,12682175.026
863,2020,4,Bayrampasa,8157995.177
864,2020,5,Bayrampasa,3269468.665
865,2020,6,Bayrampasa,2559228.394
866,2020,7,Bayrampasa,2229363.999
867,2020,8,Bayrampasa,2168402.185
868,2020,9,Bayrampasa,2504831.112
869,2020,10,Bayrampasa,3140249.655
870,2020,11,Bayrampasa,9492448.645
871,2020,12,Bayrampasa,12855294.207
872,2021,1,Bayrampasa,14857371.221
873,2021,2,Bayrampasa,14159830.042
874,2021,3,Bayrampasa,16228027.212
875,2021,4,Bayrampasa,10339821.569
876,2021,5,Bayrampasa,3278293.566
877,2021,6,Bayrampasa,2854481.605
878,2021,7,Bayrampasa,2097814.716
879,2021,8,Bayrampasa,2341790.581
880,2021,9,Bayrampasa,2755143.102
881,2021,10,Bayrampasa,5256678.858
882,2021,11,Bayrampasa,9107505.532
883,2021,12,Bayrampasa,14754299.836
884,2022,1,Bayrampasa,18638285.635
885,2022,2,Bayrampasa,15524602.084
886,2022,3,Bayrampasa,19009945.508
887,2022,4,Bayrampasa,7831813.147
888,2022,5,Bayrampasa,4471384.419
889,2022,6,Bayrampasa,2859787.373
890,2022,7,Bayrampasa,2364586.275
891,2022,8,Bayrampasa,2504529.428
892,2022,9,Bayrampasa,2762054.728
893,2022,10,Bayrampasa,3995806.277
894,2022,11,Bayrampasa,6886317.148
895,2022,12,Bayrampasa,12162204.66
896,2023,1,Bayrampasa,13959021.342
897,2023,2,Bayrampasa,15978578.295
898,2023,3,Bayrampasa,13629087.436
899,2023,4,Bayrampasa,7986208.073
900,2015,1,Besiktas,30197869.949
901,2015,2,Besiktas,26367157.77
902,2015,3,Besiktas,25730425.732
903,2015,4,Besiktas,17113819.223
904,2015,5,Besiktas,5967124.204
905,2015,6,Besiktas,3957277.803
906,2015,7,Besiktas,3503173.151
907,2015,8,Besiktas,3215991.618
908,2015,9,Besiktas,3620699.346
909,2015,10,Besiktas,8372931.712
910,2015,11,Besiktas,14597049.581
911,2015,12,Besiktas,26594511.116
912,2016,1,Besiktas,31202510.457
913,2016,2,Besiktas,22005527.641
914,2016,3,Besiktas,21192217.512
915,2016,4,Besiktas,9033869.851
916,2016,5,Besiktas,6614373.887
917,2016,6,Besiktas,3907916.98
918,2016,7,Besiktas,3068656.5
919,2016,8,Besiktas,3191125.378
920,2016,9,Besiktas,4121321.122
921,2016,10,Besiktas,8868295.311
922,2016,11,Besiktas,18662455.99
923,2016,12,Besiktas,31844957.198
924,2017,1,Besiktas,36407397.051
925,2017,2,Besiktas,28170207.42
926,2017,3,Besiktas,24147708.727
927,2017,4,Besiktas,16413286.386
928,2017,5,Besiktas,7219540.604
929,2017,6,Besiktas,3845711.041
930,2017,7,Besiktas,3350138.412
931,2017,8,Besiktas,3186607.355
932,2017,9,Besiktas,3603225.982
933,2017,10,Besiktas,8861565.492
934,2017,11,Besiktas,18315282.207
935,2017,12,Besiktas,20584081.072
936,2018,1,Besiktas,30431372.418
937,2018,2,Besiktas,24645557.875
938,2018,3,Besiktas,24291957.809
939,2018,4,Besiktas,12795042.816
940,2018,5,Besiktas,6709576.242
941,2018,6,Besiktas,3667329.532
942,2018,7,Besiktas,3776712.572
943,2018,8,Besiktas,3536732.509
944,2018,9,Besiktas,4307146.098
945,2018,10,Besiktas,7565387.711
946,2018,11,Besiktas,17041576.702
947,2018,12,Besiktas,29684415.222
948,2019,1,Besiktas,31794791.371
949,2019,2,Besiktas,26301605.563
950,2019,3,Besiktas,23917940.489
951,2019,4,Besiktas,17656226.632
952,2019,5,Besiktas,6755641.769
953,2019,6,Besiktas,3923449.525
954,2019,7,Besiktas,3785880.15
955,2019,8,Besiktas,3371366.206
956,2019,9,Besiktas,3997077.452
957,2019,10,Besiktas,5888628.869
958,2019,11,Besiktas,9849344.318
959,2019,12,Besiktas,22928424.013
960,2020,1,Besiktas,30652234.474
961,2020,2,Besiktas,25546775.005
962,2020,3,Besiktas,21038932.088
963,2020,4,Besiktas,14920111.201
964,2020,5,Besiktas,5577909.562
965,2020,6,Besiktas,3554230.855
966,2020,7,Besiktas,3018210.743
967,2020,8,Besiktas,3052512.052
968,2020,9,Besiktas,3301149.89
969,2020,10,Besiktas,4884675.969
970,2020,11,Besiktas,16174169.811
971,2020,12,Besiktas,21045375.769
972,2021,1,Besiktas,24100347.375
973,2021,2,Besiktas,23020270.797
974,2021,3,Besiktas,27053791.644
975,2021,4,Besiktas,17691254.569
976,2021,5,Besiktas,4843496.369
977,2021,6,Besiktas,3709270.44
978,2021,7,Besiktas,2947192.925
979,2021,8,Besiktas,2824001.254
980,2021,9,Besiktas,3697879.558
981,2021,10,Besiktas,9804023.42700001
982,2021,11,Besiktas,16633284.635
983,2021,12,Besiktas,24447069.078
984,2022,1,Besiktas,30403257.658
985,2022,2,Besiktas,25624876.441
986,2022,3,Besiktas,31632695.589
987,2022,4,Besiktas,14061045.031
988,2022,5,Besiktas,7205661.212
989,2022,6,Besiktas,3346619.579
990,2022,7,Besiktas,2459105.026
991,2022,8,Besiktas,3092580.034
992,2022,9,Besiktas,3406374.591
993,2022,10,Besiktas,6750327.444
994,2022,11,Besiktas,12548754.463
995,2022,12,Besiktas,20434252.488
996,2023,1,Besiktas,22677245.709
997,2023,2,Besiktas,25393761.085
998,2023,3,Besiktas,21373740.171
999,2023,4,Besiktas,13086382.118
1000,2015,1,Beykoz,18899549.382
1001,2015,2,Beykoz,16498522.466
1002,2015,3,Beykoz,15941268.514
1003,2015,4,Beykoz,10398787.541
1004,2015,5,Beykoz,3296766.752
1005,2015,6,Beykoz,2198386.647
1006,2015,7,Beykoz,1879229.927
1007,2015,8,Beykoz,1846537.973
1008,2015,9,Beykoz,2075277.299
1009,2015,10,Beykoz,4829955.168
1010,2015,11,Beykoz,8811205.225
1011,2015,12,Beykoz,17113199.302
1012,2016,1,Beykoz,20299869.539
1013,2016,2,Beykoz,13840702.638
1014,2016,3,Beykoz,13552791.203
1015,2016,4,Beykoz,5167049.707
1016,2016,5,Beykoz,3922235.782
1017,2016,6,Beykoz,2309198.311
1018,2016,7,Beykoz,1802990.384
1019,2016,8,Beykoz,1897870.463
1020,2016,9,Beykoz,2272567.846
1021,2016,10,Beykoz,5569455.9
1022,2016,11,Beykoz,11986025.977
1023,2016,12,Beykoz,21904851.698
1024,2017,1,Beykoz,24725237.369
1025,2017,2,Beykoz,18606828.533
1026,2017,3,Beykoz,16179512.468
1027,2017,4,Beykoz,11018049.161
1028,2017,5,Beykoz,4727671.886
1029,2017,6,Beykoz,2589595.905
1030,2017,7,Beykoz,2215785.565
1031,2017,8,Beykoz,2181067.696
1032,2017,9,Beykoz,2423397.935
1033,2017,10,Beykoz,5921331.389
1034,2017,11,Beykoz,12280217.815
1035,2017,12,Beykoz,16190150.085
1036,2018,1,Beykoz,20419877.472
1037,2018,2,Beykoz,18097999.683
1038,2018,3,Beykoz,15953856.26
1039,2018,4,Beykoz,8625614.311
1040,2018,5,Beykoz,4292240.217
1041,2018,6,Beykoz,2255603.457
1042,2018,7,Beykoz,2157974.566
1043,2018,8,Beykoz,1999081.936
1044,2018,9,Beykoz,2708531.428
1045,2018,10,Beykoz,5006339.469
1046,2018,11,Beykoz,11526512.568
1047,2018,12,Beykoz,20663314.145
1048,2019,1,Beykoz,22131482.468
1049,2019,2,Beykoz,19185078.192
1050,2019,3,Beykoz,16580497.332
1051,2019,4,Beykoz,12084963.921
1052,2019,5,Beykoz,4540952.009
1053,2019,6,Beykoz,2450238.391
1054,2019,7,Beykoz,2479712.933
1055,2019,8,Beykoz,2255040.831
1056,2019,9,Beykoz,2710059.989
1057,2019,10,Beykoz,4117831.711
1058,2019,11,Beykoz,6918572.937
1059,2019,12,Beykoz,16646097.71
1060,2020,1,Beykoz,22014446.431
1061,2020,2,Beykoz,18425003.508
1062,2020,3,Beykoz,16145193.58
1063,2020,4,Beykoz,11045187.124
1064,2020,5,Beykoz,4240260.808
1065,2020,6,Beykoz,3146937.158
1066,2020,7,Beykoz,2463802.513
1067,2020,8,Beykoz,2404139.303
1068,2020,9,Beykoz,2603139.08
1069,2020,10,Beykoz,3733590.984
1070,2020,11,Beykoz,12348909.62
1071,2020,12,Beykoz,16474217.974
1072,2021,1,Beykoz,18845842.058
1073,2021,2,Beykoz,17833228.661
1074,2021,3,Beykoz,20692020.81
1075,2021,4,Beykoz,13683149.094
1076,2021,5,Beykoz,4318592.925
1077,2021,6,Beykoz,3333805.895
1078,2021,7,Beykoz,2327417.263
1079,2021,8,Beykoz,2461002.556
1080,2021,9,Beykoz,3043612.96
1081,2021,10,Beykoz,6928625.512
1082,2021,11,Beykoz,12010727.909
1083,2021,12,Beykoz,18463033.033
1084,2022,1,Beykoz,23089808.836
1085,2022,2,Beykoz,19515941.557
1086,2022,3,Beykoz,23897996.745
1087,2022,4,Beykoz,10464681.118
1088,2022,5,Beykoz,5820555.128
1089,2022,6,Beykoz,3046304.514
1090,2022,7,Beykoz,2453245.197
1091,2022,8,Beykoz,2489374.476
1092,2022,9,Beykoz,2812817.384
1093,2022,10,Beykoz,5260936.298
1094,2022,11,Beykoz,9397891.742
1095,2022,12,Beykoz,15719456.446
1096,2023,1,Beykoz,17759042.24
1097,2023,2,Beykoz,19818345.099
1098,2023,3,Beykoz,17287400.059
1099,2023,4,Beykoz,10420394.907
1100,2015,1,Beylikduzu,22791424.033
1101,2015,2,Beylikduzu,19993177.809
1102,2015,3,Beylikduzu,19576413.178
1103,2015,4,Beylikduzu,12799866.851
1104,2015,5,Beylikduzu,6099860.618
1105,2015,6,Beylikduzu,5048422.451
1106,2015,7,Beylikduzu,4474337.429
1107,2015,8,Beylikduzu,4742373.46
1108,2015,9,Beylikduzu,4682131.414
1109,2015,10,Beylikduzu,7749699.599
1110,2015,11,Beylikduzu,11328611.824
1111,2015,12,Beylikduzu,20463880.97
1112,2016,1,Beylikduzu,24751415.912
1113,2016,2,Beylikduzu,17918052.758
1114,2016,3,Beylikduzu,16683047.601
1115,2016,4,Beylikduzu,8114489.55
1116,2016,5,Beylikduzu,6758115.65
1117,2016,6,Beylikduzu,5306662.613
1118,2016,7,Beylikduzu,4098820.073
1119,2016,8,Beylikduzu,4971814.774
1120,2016,9,Beylikduzu,5055200.838
1121,2016,10,Beylikduzu,8387152.513
1122,2016,11,Beylikduzu,16096964.821
1123,2016,12,Beylikduzu,26741983.842
1124,2017,1,Beylikduzu,31015412.215
1125,2017,2,Beylikduzu,24416222.654
1126,2017,3,Beylikduzu,20482003.929
1127,2017,4,Beylikduzu,13755429.108
1128,2017,5,Beylikduzu,7211454.054
1129,2017,6,Beylikduzu,5259895.901
1130,2017,7,Beylikduzu,5357324.328
1131,2017,8,Beylikduzu,5189927.102
1132,2017,9,Beylikduzu,5432442.31
1133,2017,10,Beylikduzu,8879167.549
1134,2017,11,Beylikduzu,16566773.64
1135,2017,12,Beylikduzu,19239196.435
1136,2018,1,Beylikduzu,28370212.844
1137,2018,2,Beylikduzu,22983759.022
1138,2018,3,Beylikduzu,22429868.072
1139,2018,4,Beylikduzu,11521190.004
1140,2018,5,Beylikduzu,7328170.748
1141,2018,6,Beylikduzu,5198606.551
1142,2018,7,Beylikduzu,5494862.63
1143,2018,8,Beylikduzu,4810406.252
1144,2018,9,Beylikduzu,5591253.146
1145,2018,10,Beylikduzu,8036854.697
1146,2018,11,Beylikduzu,16013990.946
1147,2018,12,Beylikduzu,27926333.429
1148,2019,1,Beylikduzu,30168337.564
1149,2019,2,Beylikduzu,24668846.51
1150,2019,3,Beylikduzu,21797414.201
1151,2019,4,Beylikduzu,15740588.162
1152,2019,5,Beylikduzu,7955545.958
1153,2019,6,Beylikduzu,5414124.538
1154,2019,7,Beylikduzu,6003744.007
1155,2019,8,Beylikduzu,5347744.155
1156,2019,9,Beylikduzu,6144476.625
1157,2019,10,Beylikduzu,7796392.394
1158,2019,11,Beylikduzu,10639893.528
1159,2019,12,Beylikduzu,22634754.651
1160,2020,1,Beylikduzu,30142412.529
1161,2020,2,Beylikduzu,25331463.849
1162,2020,3,Beylikduzu,22213131.699
1163,2020,4,Beylikduzu,15628509.427
1164,2020,5,Beylikduzu,7457373.469
1165,2020,6,Beylikduzu,6405648.785
1166,2020,7,Beylikduzu,5824928.612
1167,2020,8,Beylikduzu,5729149.008
1168,2020,9,Beylikduzu,6365131.809
1169,2020,10,Beylikduzu,7290386.481
1170,2020,11,Beylikduzu,18164702.26
1171,2020,12,Beylikduzu,23883270.715
1172,2021,1,Beylikduzu,26489220.428
1173,2021,2,Beylikduzu,25319645.663
1174,2021,3,Beylikduzu,29045032.534
1175,2021,4,Beylikduzu,19543964.848
1176,2021,5,Beylikduzu,7761482.909
1177,2021,6,Beylikduzu,7628345.524
1178,2021,7,Beylikduzu,5546312.059
1179,2021,8,Beylikduzu,5912543.156
1180,2021,9,Beylikduzu,6558546.438
1181,2021,10,Beylikduzu,11698565.47
1182,2021,11,Beylikduzu,18014753.922
1183,2021,12,Beylikduzu,27602158.746
1184,2022,1,Beylikduzu,33158558.189
1185,2022,2,Beylikduzu,28030976.976
1186,2022,3,Beylikduzu,34196547.998
1187,2022,4,Beylikduzu,15395421.501
1188,2022,5,Beylikduzu,9488062.574
1189,2022,6,Beylikduzu,6842041.641
1190,2022,7,Beylikduzu,5554278.646
1191,2022,8,Beylikduzu,6273599.45
1192,2022,9,Beylikduzu,6876934.381
1193,2022,10,Beylikduzu,9184336.227
1194,2022,11,Beylikduzu,14367351.417
1195,2022,12,Beylikduzu,23426741.424
1196,2023,1,Beylikduzu,25863162.199
1197,2023,2,Beylikduzu,28827513.008
1198,2023,3,Beylikduzu,24060517.534
1199,2023,4,Beylikduzu,14840997.71
1200,2015,1,Beyoglu,17401991.203
1201,2015,2,Beyoglu,15153854.46
1202,2015,3,Beyoglu,14642321.321
1203,2015,4,Beyoglu,9492820.635
1204,2015,5,Beyoglu,3655272.647
1205,2015,6,Beyoglu,2674097.041
1206,2015,7,Beyoglu,2256982.306
1207,2015,8,Beyoglu,2375242.447
1208,2015,9,Beyoglu,2584931.609
1209,2015,10,Beyoglu,4611319.084
1210,2015,11,Beyoglu,7467667.452
1211,2015,12,Beyoglu,14623565.29
1212,2016,1,Beyoglu,18102029.03
1213,2016,2,Beyoglu,12736010.827
1214,2016,3,Beyoglu,11963902.723
1215,2016,4,Beyoglu,4901863.442
1216,2016,5,Beyoglu,3869482.345
1217,2016,6,Beyoglu,2608569.167
1218,2016,7,Beyoglu,2179622.535
1219,2016,8,Beyoglu,2425261.59
1220,2016,9,Beyoglu,2515429.278
1221,2016,10,Beyoglu,4893065.698
1222,2016,11,Beyoglu,10464220.928
1223,2016,12,Beyoglu,18302787.136
1224,2017,1,Beyoglu,21443029.44
1225,2017,2,Beyoglu,16415206.75
1226,2017,3,Beyoglu,13831188.21
1227,2017,4,Beyoglu,9356783.119
1228,2017,5,Beyoglu,4268762.029
1229,2017,6,Beyoglu,2663316.105
1230,2017,7,Beyoglu,2629908.414
1231,2017,8,Beyoglu,2647409.337
1232,2017,9,Beyoglu,2721471.253
1233,2017,10,Beyoglu,4982303.916
1234,2017,11,Beyoglu,10355386.454
1235,2017,12,Beyoglu,12247616.528
1236,2018,1,Beyoglu,18260167.414
1237,2018,2,Beyoglu,14876853.404
1238,2018,3,Beyoglu,14445838.749
1239,2018,4,Beyoglu,7288577.801
1240,2018,5,Beyoglu,3936023.094
1241,2018,6,Beyoglu,2751782.334
1242,2018,7,Beyoglu,2829375.462
1243,2018,8,Beyoglu,2541578.894
1244,2018,9,Beyoglu,2992592.309
1245,2018,10,Beyoglu,4422652.045
1246,2018,11,Beyoglu,9516418.73100001
1247,2018,12,Beyoglu,18038741.46
1248,2019,1,Beyoglu,19781753.69
1249,2019,2,Beyoglu,16246011.971
1250,2019,3,Beyoglu,14479294.836
1251,2019,4,Beyoglu,10638140.056
1252,2019,5,Beyoglu,4406358.735
1253,2019,6,Beyoglu,2811961.077
1254,2019,7,Beyoglu,2972248.845
1255,2019,8,Beyoglu,2751480.814
1256,2019,9,Beyoglu,3099699.672
1257,2019,10,Beyoglu,4034241.127
1258,2019,11,Beyoglu,5932432.71
1259,2019,12,Beyoglu,14101250.403
1260,2020,1,Beyoglu,19570923.718
1261,2020,2,Beyoglu,16232347.252
1262,2020,3,Beyoglu,12595904.765
1263,2020,4,Beyoglu,7818081.116
1264,2020,5,Beyoglu,3174108.125
1265,2020,6,Beyoglu,2354299.871
1266,2020,7,Beyoglu,2011371.578
1267,2020,8,Beyoglu,2059147.098
1268,2020,9,Beyoglu,2388542.24
1269,2020,10,Beyoglu,3145079.109
1270,2020,11,Beyoglu,9442346.273
1271,2020,12,Beyoglu,12649092.801
1272,2021,1,Beyoglu,14610025.311
1273,2021,2,Beyoglu,14081993.419
1274,2021,3,Beyoglu,16538957.23
1275,2021,4,Beyoglu,10801610.485
1276,2021,5,Beyoglu,3397181.762
1277,2021,6,Beyoglu,2936649.169
1278,2021,7,Beyoglu,2496201.912
1279,2021,8,Beyoglu,2547867.323
1280,2021,9,Beyoglu,2980153.282
1281,2021,10,Beyoglu,5992511.458
1282,2021,11,Beyoglu,10205979.357
1283,2021,12,Beyoglu,15954356.06
1284,2022,1,Beyoglu,19962582.737
1285,2022,2,Beyoglu,16907663.296
1286,2022,3,Beyoglu,21112488.84
1287,2022,4,Beyoglu,9067490.979
1288,2022,5,Beyoglu,5309226.135
1289,2022,6,Beyoglu,3290370.595
1290,2022,7,Beyoglu,2851386.052
1291,2022,8,Beyoglu,2931367.417
1292,2022,9,Beyoglu,3336275.836
1293,2022,10,Beyoglu,4843171.187
1294,2022,11,Beyoglu,7871610.211
1295,2022,12,Beyoglu,13472702.839
1296,2023,1,Beyoglu,15123892.085
1297,2023,2,Beyoglu,17116877.257
1298,2023,3,Beyoglu,14301456.114
1299,2023,4,Beyoglu,8735685.949
1300,2015,1,Buyukcekmece,18020191.942
1301,2015,2,Buyukcekmece,15818806.535
1302,2015,3,Buyukcekmece,14766399.499
1303,2015,4,Buyukcekmece,9165857.079
1304,2015,5,Buyukcekmece,2989567.583
1305,2015,6,Buyukcekmece,2206878.62
1306,2015,7,Buyukcekmece,1869508.504
1307,2015,8,Buyukcekmece,1873307.255
1308,2015,9,Buyukcekmece,2037943.425
1309,2015,10,Buyukcekmece,4253475.551
1310,2015,11,Buyukcekmece,7714810.036
1311,2015,12,Buyukcekmece,15586550.371
1312,2016,1,Buyukcekmece,19501271.445
1313,2016,2,Buyukcekmece,13563548.652
1314,2016,3,Buyukcekmece,12354861.157
1315,2016,4,Buyukcekmece,4764662.837
1316,2016,5,Buyukcekmece,3459710.302
1317,2016,6,Buyukcekmece,2225923.796
1318,2016,7,Buyukcekmece,1800445.017
1319,2016,8,Buyukcekmece,1993032.874
1320,2016,9,Buyukcekmece,2233814.488
1321,2016,10,Buyukcekmece,4811566.955
1322,2016,11,Buyukcekmece,11318743.988
1323,2016,12,Buyukcekmece,20234753.365
1324,2017,1,Buyukcekmece,23904761.133
1325,2017,2,Buyukcekmece,18387154.025
1326,2017,3,Buyukcekmece,15200681.561
1327,2017,4,Buyukcekmece,9672030.01
1328,2017,5,Buyukcekmece,3905508.58
1329,2017,6,Buyukcekmece,2295105.509
1330,2017,7,Buyukcekmece,2140113.117
1331,2017,8,Buyukcekmece,2068807.326
1332,2017,9,Buyukcekmece,2249979.301
1333,2017,10,Buyukcekmece,4834693.713
1334,2017,11,Buyukcekmece,11078962.048
1335,2017,12,Buyukcekmece,13525032.386
1336,2018,1,Buyukcekmece,20922041.851
1337,2018,2,Buyukcekmece,16982166.865
1338,2018,3,Buyukcekmece,16415718.27
1339,2018,4,Buyukcekmece,7755161.39
1340,2018,5,Buyukcekmece,3796041.797
1341,2018,6,Buyukcekmece,2293016.274
1342,2018,7,Buyukcekmece,2231672.225
1343,2018,8,Buyukcekmece,1913315.88
1344,2018,9,Buyukcekmece,2470400.169
1345,2018,10,Buyukcekmece,4219361.194
1346,2018,11,Buyukcekmece,10934359.568
1347,2018,12,Buyukcekmece,21138528.599
1348,2019,1,Buyukcekmece,22711142.55
1349,2019,2,Buyukcekmece,18531466.537
1350,2019,3,Buyukcekmece,16010405.423
1351,2019,4,Buyukcekmece,11083556.332
1352,2019,5,Buyukcekmece,4182036.616
1353,2019,6,Buyukcekmece,2250029.636
1354,2019,7,Buyukcekmece,2454835.428
1355,2019,8,Buyukcekmece,2160979.54
1356,2019,9,Buyukcekmece,2478599.599
1357,2019,10,Buyukcekmece,3550607.236
1358,2019,11,Buyukcekmece,6066378.498
1359,2019,12,Buyukcekmece,16090542.847
1360,2020,1,Buyukcekmece,22445918.913
1361,2020,2,Buyukcekmece,18613399.539
1362,2020,3,Buyukcekmece,16248647.064
1363,2020,4,Buyukcekmece,11241744.385
1364,2020,5,Buyukcekmece,4255040.193
1365,2020,6,Buyukcekmece,2892281.296
1366,2020,7,Buyukcekmece,2422604.626
1367,2020,8,Buyukcekmece,2319930.353
1368,2020,9,Buyukcekmece,2539429.509
1369,2020,10,Buyukcekmece,3461282.326
1370,2020,11,Buyukcekmece,12574173.569
